place_id,name,rating,address
ChIJ9UX8GsijoRQR2uWHf4ziuGM,Helen's Cozy Studio 2,4.7,"Ήρας 31, Sokratous 2, &"
ChIJF_ChJPWjoRQR8T8t0nC1DG4,Obad Athena,,"Eleftheriou Venizelou 6, Galatsi"
ChIJtRMcwB6joRQR_pExgg3dFAM,Big Oasis near the center of Athens,5.0,"Athineon 21, Galatsi"
ChIJP2_WZJ6joRQR5_FkC9OoNRk,White Pearl Hospitality,,"Spartiaton 32, Galatsi"
ChIJq2Mhg6ejoRQRzLxXI2yk5Rw,FEELS LIKE HOME IKE,4.5,"Μαραθώνος 1, Kerkiras 24, Galatsi"
ChIJCcSnYmaYoRQRymmUzSIdqSU,#AH19 HOMZ PSYCHICO APARTMENT,4.8,"Chaoulant 10, Psichiko"
ChIJ02CFNsWZoRQR5af9kVXQsDA,LPappartment ATHENS,,"Μαραθωνοδρόμου 101 Παλαιό Ψυχικό, Athina"
ChIJN6_dhpSZoRQR7sacBGesMcY,To Swthrio Hotels,,"Ethnikis Antistaseos 68, Chalandri"
ChIJ7_KBlF-YoRQRBsOPewxsDS4,"ELLINIKAI AKTAI A.E. ""KYLLINI BEACH RESORT""",,"Leoforos Kifisias 280, Chalandri"
ChIJ0VByfqqZoRQRrwI2saJg_88,One 360 Skyline Athens Penthouses,4.9,"St. Barbara, 65 Ethnikis Antistaseos Street N. Psychiko, Athina"
ChIJnathtaeZoRQRcwhNbej9ON8,Mar-Bella Collection,5.0,"Leoforos Kifisias 282, Athina"
ChIJO2cvml-9oRQRml0HZnUxwIE,Alkyon Villas Folegandros,,"Iroon Politechniou 157, Chalandri"
ChIJLdunwxmZoRQR_bZSyNi0ITs,Orange Garden,5.0,"Sofokleous 3, Chalandri"
ChIJERxXq7yZoRQR9mK7SJZwlWE,ΕΛΛΗΝΙΚΟ ΚΕΝΤΡΟ ΠΡΟΑΓΩΓΗΣ ΚΟΙΝΩΝΙΚΗΣ ΚΑΙ ΨΥΧΙΚΗΣ ΥΓΕΙΑΣ - ΠΟΡΕΙΑ ΑΜΚΕ,5.0,"Zan Moreas 20, Chalandri"
ChIJm9S4QVSjoRQR6fPtkkjJ_8I,Camping Athens,3.4,"Leoforos Athinon 198-200, Athina"
ChIJ60-zap-joRQR98zgrIc6_-k,Home Athens,,"Digeni Akrita 62, Egaleo"
ChIJqa8w9nijoRQRCpbK1qGRcNs,Σύγχρονο διαμέρισμα στο Αιγάλεω-Χαϊδάρι,5.0,"Iktinou 15, Egaleo"
ChIJz9K0zqqkoRQR5_w-VBZux7E,Golden Bay,,"Akrita 15, Athina"
ChIJXa9EhZajoRQRvI6l9_rat1U,ChrisAndro Apartments,4.7,"Pipinou 45, Athina"
ChIJiXeczKukoRQR5As1xN5u7Yo,NEFELI SA,,"Aidiniou 21, Chaidari"
ChIJiXeczKukoRQRP-j3EeDy8Rc,ΑΠΕΡΑΝΤΟ ΓΑΛΑΖΙΟ,5.0,"Aidiniou 21, Chaidari"
ChIJzSPEmNe9oRQRSs5AyQK7fB4,Pin Homes & Property Management,5.0,"Agiou Nektariou 14, Egaleo"
ChIJYbMf-s-joRQRrfrtIL4BKQo,LoftLiving,,"Agias Grigorousas 42, Chaidari"
ChIJzSPEmNe9oRQRSs5AyQK7fB4,Pin Homes & Property Management,5.0,"Agiou Nektariou 14, Egaleo"
